Company Name,Name,Category,Country
Across Culture,Across Cultures,B2C,UK
Airscale,Airscale,B2C,FR
Alison Notebook,Alison Notebook,B2C,US
Autodif,Baldassari,Automotive,FR
Autovillage,Givauto,Automotive,FR
BYmyCAR,BYmyCAR,Automotive,FR
BlueSky,Bluesky Interactive Limited,Automotive,UK
CBCM,CBCM,B2C,FR
CGM,CGM,B2C,FR
CX Ninjas,CX Ninjas,B2B,UK
Cajuu,Cajuu,B2C,UK
Com2Market,Com2Market,B2C,FR
Digetik,Digetik,B2C,FR
Digiberries,Digiberries,B2C,FR
Domus,Domus,B2C,FR
Dosojin Patrimoine,Dosojin Patrimoine,B2C,FR
EDA42,EDA 42,Automotive,FR
Edenred,Edenred,B2B,FR
Etter+Ramli,Etter+Ramli,B2B,OTHER
Evidence,Evidence Home,B2C,FR
Evolution2,360 S / Evolution2,B2C,FR
Exeros Technologies,Exeros Technologies,B2B,UK
F&L Ingénierie,F&L Ingénierie,B2C,FR
Food 4 Thoughts,Food 4 Thoughts,B2C,US
Fred Jeandin,Fred Jeandin,B2C,FR
Frontline Education,Frontline Education,B2B,US
GCZ,GCZ,B2C,FR
GGP,Grands Garages du Pas de Calais / GGP,Automotive,FR
GMBD,GMBD,B2C,US
GWI,GWI / Trendstream Limited,B2B,UK
Genesys,Genesys,B2B,US
Goliath,Goliath,B2B,US
Groupe DMD,Groupe DMD,Automotive,FR
Groupe Dugat,Groupe Dugat,Automotive,FR
Groupe Lancien,Groupe Lancien / Park Lann Automobiles / Iroise Automobile,Automotive,FR
Groupe Theobald,Groupe Theobald,Automotive,FR
Guyane Automobile,Guyane Automobile,Automotive,FR
HBW,55 Investments Limited / House Buyers Wales,B2C,UK
Humain Eveillé,Humain Eveillé,B2C,FR
IGES,IGES,B2B,US
Idemia,systemgie (groupe agp) / Systemgie,B2B,FR
Infolawyers,Infolawyers / LAWLA SAS,B2C,FR
Integrate,Integrate,B2B,US
Jatoba,Jatoba Design,B2C,FR
Launchpop,Launchpop,B2C,US
Letsgetout Inc.,Letsgetout Inc.,B2C,FR
Live with Passion,Live with Passion,B2C,US
LuxSci,"LuxSci / lux scientiae, inc.",B2B,US
Medicold,Medicold,B2C,FR
Michel Vacheron Automobiles,Michel Vacheron Automobiles,Automotive,FR
Motorcar Paris Est,Motorcar Paris Est,Automotive,UK
MyDigipal,MyDigipal,Internal,UK
Nanogramme,Nanogramme,B2C,FR
Neobail,Neobail,B2C,FR
Nicolas Felger,Nicolas Felger Group,B2C,FR
Nomination,Nomination,B2B,FR
NuHerbs,NuHerbs,B2B,US
NuTraditions,NuTraditions,B2C,US
Omilia,Omilia nls,B2C,EU
On Train,On Train,B2B,FR
Ottilies,Ottilies,B2C,FR
PAUL KROELY ANIMATION,PAUL KROELY ANIMATION,Automotive,FR
Partenair,Partenair,B2C,FR
Passion Production,Live Passion Production,B2C,FR
Property118,Property118,B2C,FR
Prêt à Pousser,Prêt à Pousser,B2C,FR
Pubstack,Pubstack / ADROCKTV ,B2C,UK
Pur Lux,Pur Lux,B2B,FR
Quantum Metric,Quantum Metric,B2C,US
SMP,SMP Picard,B2B,FR
Saegone,Mathieu Lepretre,B2B,FR
Servion,servion global solutions inc,B2C,US
Symbl.ai,"Rammer Technologies, Inc.",B2B,UK
TGPC,TGPC,B2C,US
TJDP,terrasses et jardins de paris,B2B,US
TheRC,The Revenue Consultancy,B2B,FR
Unbound,Smart Snacks (Unbound),B2C,US
Veesion,Veesion,B2B,FR
Velocity Partners,Velocity Partners,B2C,US
Vulcain,Vulcain / Vulcain - AVD / Vulcain - Arvernis / Vulcain - Atlantic Autos / Vulcain - Evolution Autos / Vulcain - Felix Faure Automobiles / Vulcain - Groupe / Vulcain - Honda Motos Lyon / Vulcain - Loire Alliance Motors / Vulcain - Lyon Elite Motors / Vulcain - Magris / Vulcain - Oppidum Autos,B2C,FR
Warpcom,Warpcom,Automotive,FR
We Factory,We Factory / BNP / BeCom,B2C,EU
Wilup,Wilup,B2B,FR
Woodcote & Copse,Lotus Silverstone,B2B,FR
