Type;Fichier;Langue;Actuel;Longueur Actuelle;Longueur Finale;Proposition;Longueur Proposition;Longueur Finale Proposition
TITLE_TROP_LONG;services/index.astro;EN;Digital Marketing Services | Google Ads, SEO, Paid Social | MyDigipal;70;85;Digital Marketing Services | Google Ads & SEO;46;61
TITLE_TROP_LONG;services/index.astro;FR;Services Marketing Digital | Google Ads, SEO, Paid Social | MyDigipal;70;85;Services Marketing Digital | Google Ads & SEO;46;61
TITLE_TROP_LONG;blog/fr/linkedin-thought-leader-ai-roi.mdx;FR;LinkedIn Thought Leader Ads + IA Generative : Le Framework Complet pour un ROI x3 en B2B Tech;93;108;LinkedIn Thought Leader Ads + IA : Framework ROI x3 B2B Tech;61;76
TITLE_TROP_LONG;blog/fr/google-ads-micro-moments-b2b.mdx;FR;Google Ads B2B Tech : Maitrisez les 7 Micro-Moments qui Declenchent les Deals a 6 Chiffres;91;106;Google Ads B2B : 7 Micro-Moments pour Deals 6 Chiffres;55;70
TITLE_TROP_LONG;blog/fr/automotive-aftermarket-digital-strategy-service-revenue.mdx;FR;Strategie numerique pour l apres-vente automobile : capter les revenus de service via les canaux digitaux;105;120;Strategie Digitale Apres-Vente Auto : Capter les Revenus Service;65;80
TITLE_TROP_LONG;blog/fr/multi-touch-attribution-models-complex-b2b-sales-beyond-last-click.mdx;FR;Modeles d Attribution Multi-Touch pour les Ventes B2B Complexes : Au-dela du Dernier Clic;90;105;Attribution Multi-Touch B2B : Au-dela du Dernier Clic;53;68
TITLE_TROP_LONG;blog/fr/ia-configurateurs-auto-conversationnels.mdx;FR;IA Conversationnelle : Transformer les Configurateurs Auto en Conseillers Virtuels;82;97;IA Conversationnelle : Configurateurs Auto Virtuels;51;66
TITLE_TROP_LONG;blog/fr/ia-conversationnelle-achat-automobile-b2b.mdx;FR;IA Conversationnelle : Revolutionner la Qualification des Flottes Automobiles B2B en 2025;89;104;IA Conversationnelle : Qualification Flottes Auto B2B 2025;58;73
TITLE_TROP_LONG;blog/fr/ia-configurateurs-auto-roi.mdx;FR;IA Generative et Configurateurs Auto : Comment Atteindre 60% de Reduction des Couts en 2025;91;106;IA Generative Configurateurs Auto : -60% Couts en 2025;54;69
TITLE_TROP_LONG;blog/fr/intent-signal-orchestration-connecting-sales-marketing-b2b-saas.mdx;FR;Orchestration des Signaux d Intention : Connecter Ventes et Marketing en B2B SaaS;81;96;Signaux d Intention B2B SaaS : Aligner Ventes et Marketing;58;73
TITLE_TROP_LONG;blog/fr/first-party-data-automotive-dealerships-post-cookie.mdx;FR;Strategies de Donnees First-Party pour les Concessions Automobiles a l Ere Post-Cookie;86;101;Donnees First-Party Concessions Auto : Guide Post-Cookie;56;71
TITLE_TROP_LONG;blog/fr/how-to-train-teams-on-ai.mdx;FR;Comment Former Vos Equipes a l IA : Methodes Evolutives et Cas d Usage;70;85;Former Vos Equipes a l IA : Methodes et Cas d Usage;51;66
TITLE_TROP_LONG;blog/fr/claude-code-developer-productivity.mdx;FR;Claude Code : La Revolution de la Productivite Developpeur en 2026;66;81;Claude Code : Revolution Productivite Dev 2026;47;62
TITLE_TROP_LONG;blog/fr/ai-powered-content-personalization-dynamic-website-abm.mdx;FR;Personnalisation de contenu par l IA : construire des experiences web dynamiques pour les comptes ABM;99;114;Personnalisation IA : Experiences Web Dynamiques ABM;52;67
TITLE_TROP_LONG;blog/fr/programmatic-advertising-ev-launches-reaching-early-adopters-scale.mdx;FR;Publicite Programmatique pour les Lancements de Vehicules Electriques : Atteindre les Early Adopters a Grande Echelle;115;130;Publicite Programmatique VE : Atteindre les Early Adopters;58;73
TITLE_TROP_LONG;blog/fr/voice-search-optimization-automotive-dealerships.mdx;FR;Optimisation de la recherche vocale pour concessionnaires automobiles : capturer les requetes a proximite;102;117;Recherche Vocale Auto : Capturer les Requetes Locales;53;68
TITLE_TROP_LONG;blog/en/linkedin-thought-leader-ai-roi.mdx;EN;LinkedIn Thought Leader Ads + Generative AI: The Complete Framework for 3x ROI in B2B Tech;90;105;LinkedIn Thought Leader Ads + AI: 3x ROI Framework B2B;54;69
TITLE_TROP_LONG;blog/en/google-ads-micro-moments-b2b.mdx;EN;B2B Tech Google Ads: Master the 7 Decision Micro-Moments That Close Six-Figure Deals;84;99;B2B Google Ads: 7 Micro-Moments for Six-Figure Deals;52;67
TITLE_TROP_LONG;blog/en/ai-powered-content-personalization-dynamic-website-abm.mdx;EN;AI-Powered Content Personalization: Building Dynamic Website Experiences for ABM Accounts;89;104;AI Content Personalization: Dynamic ABM Experiences;51;66
TITLE_TROP_LONG;blog/en/intent-signal-orchestration-connecting-sales-marketing-b2b-saas.mdx;EN;Intent Signal Orchestration: Connecting Sales and Marketing in B2B SaaS;71;86;Intent Signal Orchestration: Aligning B2B SaaS Teams;52;67
TITLE_TROP_LONG;blog/en/programmatic-advertising-ev-launches-reaching-early-adopters-scale.mdx;EN;Programmatic Advertising for EV Launches: Reaching Early Adopters at Scale;74;89;Programmatic Ads for EV Launches: Early Adopters at Scale;57;72
TITLE_TROP_LONG;blog/en/predictive-lead-scoring-ai-reducing-b2b-tech-sales-cycles.mdx;EN;Predictive Lead Scoring with AI: Reducing B2B Tech Sales Cycles by 40%;70;85;AI Predictive Lead Scoring: Cut B2B Sales Cycles 40%;52;67
TITLE_TROP_LONG;blog/en/multi-touch-attribution-models-complex-b2b-sales-beyond-last-click.mdx;EN;Multi-Touch Attribution Models for Complex B2B Sales: Beyond Last-Click;71;86;Multi-Touch Attribution for B2B: Beyond Last-Click;50;65
TITLE_TROP_LONG;blog/en/ia-configurateurs-auto-roi.mdx;EN;Generative AI for Auto Configurators: How OEMs Are Achieving 60% Cost Reduction in 2025;87;102;Generative AI Auto Configurators: 60% Cost Reduction 2025;57;72
TITLE_TROP_LONG;blog/en/voice-search-optimization-automotive-dealerships.mdx;EN;Voice Search Optimization for Automotive Dealerships: Capturing Near Me Queries;79;94;Voice Search for Auto Dealers: Capture Near Me Queries;54;69
TITLE_TROP_LONG;blog/en/first-party-data-automotive-dealerships-post-cookie.mdx;EN;First-Party Data Strategies for Automotive Dealerships Post-Cookie Era;70;85;First-Party Data for Auto Dealers: Post-Cookie Guide;52;67
